t,stiff_force,compliant_force,stiff_torque,compliant_torque
0.0000,0.0000,0.0000,208.8571,208.8570
0.0020,0.0000,0.0000,173.1541,209.4541
0.0040,0.0000,0.0000,143.4571,208.6547
0.0060,0.0000,0.0000,154.8338,207.5420
0.0080,0.0000,0.0000,184.6309,201.2771
0.0100,0.0000,0.0000,210.3638,201.6350
0.0120,0.0000,0.0000,234.2588,196.6892
0.0140,0.0000,0.0000,255.2419,194.5477
0.0160,0.0000,0.0000,273.8873,189.6432
0.0180,0.0000,0.0000,291.6058,188.4476
0.0200,0.0000,0.0000,307.5383,184.1637
0.0220,0.0000,0.0000,322.0838,183.8133
0.0240,0.0000,0.0000,336.4140,180.3454
0.0260,0.0000,0.0000,347.4620,180.7012
0.0280,0.0000,0.0000,359.0299,178.2254
0.0300,0.0000,0.0000,371.9371,179.4373
0.0320,0.0000,0.0000,384.3648,176.8479
0.0340,0.0000,0.0000,396.1062,178.2092
0.0360,0.0000,0.0000,407.8542,175.9477
0.0380,0.0000,0.0000,418.4121,177.6573
0.0400,0.0000,0.0000,429.3525,175.9298
0.0420,0.0000,0.0000,437.3043,178.3802
0.0440,0.0000,0.0000,446.1456,177.0748
0.0460,0.0000,0.0000,455.6460,179.7329
0.0480,0.0000,0.0000,465.1520,178.3048
0.0500,0.0000,0.0000,474.9065,180.8462
0.0520,0.0000,0.0000,483.4441,179.5653
0.0540,0.0000,0.0000,493.2768,182.0654
0.0560,0.0000,0.0000,502.0520,180.4663
0.0580,0.0000,0.0000,512.5183,183.3331
0.0600,0.0000,0.0000,522.4658,181.7251
0.0620,0.0000,0.0000,531.9991,184.3300
0.0640,0.0000,0.0000,540.7099,182.6084
0.0660,0.0000,0.0000,550.4040,185.4861
0.0680,0.0000,0.0000,560.1371,183.7497
0.0700,0.0000,0.0000,569.1170,186.2298
0.0720,0.0000,0.0000,578.6237,184.4110
0.0740,0.0000,0.0000,587.5052,186.8471
0.0760,0.0000,0.0000,598.5441,184.9468
0.0780,0.0000,0.0000,608.5524,187.3058
0.0800,0.0000,0.0000,617.1688,185.3273
0.0820,0.0000,0.0000,624.0069,186.5400
0.0840,0.0000,0.0000,632.2322,185.9343
0.0860,0.0000,0.0000,640.3371,189.3036
0.0880,0.0000,0.0000,651.7277,187.3491
0.0900,0.0000,0.0000,661.6505,189.8272
0.0920,0.0000,0.0000,671.7347,187.8355
0.0940,0.0000,0.0000,683.2573,190.1379
0.0960,0.0000,0.0000,690.9970,188.8472
0.0980,0.0000,0.0000,697.0957,191.0896
0.1000,0.0000,0.0000,704.7112,188.6684
0.1020,0.0000,0.0000,714.0230,191.8236
0.1040,0.0000,0.0000,723.4638,189.3702
0.1060,0.0000,0.0000,732.3675,191.3270
0.1080,0.0000,0.0000,741.8306,188.5911
0.1100,0.0000,0.0000,750.7889,190.3797
0.1120,0.0000,0.0000,757.9370,187.2362
0.1140,0.0000,0.0000,767.8098,189.7432
0.1160,0.0000,0.0000,777.8924,189.5338
0.1180,0.0000,0.0000,769.1517,191.5089
0.1200,0.0000,0.0000,762.8839,188.9531
0.1220,0.0000,0.0000,758.1767,191.7415
0.1240,0.0000,0.0000,755.7638,190.0964
0.1260,0.0000,0.0000,748.1122,193.3270
0.1280,0.0000,0.0000,743.9675,191.5363
0.1300,0.0000,0.0000,742.5829,195.4012
0.1320,0.0000,0.0000,741.0134,194.1795
0.1340,0.0000,0.0000,740.1099,197.3491
0.1360,0.0000,0.0000,741.1507,195.7881
0.1380,0.0000,0.0000,742.5108,199.1121
0.1400,0.0000,0.0000,743.9271,197.1434
0.1420,0.0000,0.0000,745.0052,200.1652
0.1440,0.0000,0.0000,746.1481,198.1141
0.1460,0.0000,0.0000,749.2492,201.0180
0.1480,0.0000,0.0000,752.2047,198.8901
0.1500,0.0000,0.0000,752.2903,201.2120
0.1520,0.0000,0.0000,752.5989,199.4303
0.1540,0.0000,0.0000,751.8043,202.2747
0.1560,0.0000,0.0000,752.4806,200.1404
0.1580,0.0000,0.0000,753.0490,203.0159
0.1600,0.0000,0.0000,755.8936,200.8329
0.1620,0.0000,0.0000,756.6181,203.7165
0.1640,0.0000,0.0000,759.5473,201.5195
0.1660,0.0000,0.0000,761.5422,204.2443
0.1680,0.0000,0.0000,764.1441,201.7711
0.1700,0.0000,0.0000,765.8881,204.4083
0.1720,0.0000,0.0000,768.3954,201.8161
0.1740,0.0000,0.0000,769.0819,204.2847
0.1760,0.0000,0.0000,770.9944,201.5299
0.1780,0.0000,0.0000,772.6178,203.7104
0.1800,0.0000,0.0000,774.5328,200.9965
0.1820,0.0000,0.0000,773.6373,204.2964
0.1840,0.0000,0.0000,774.2255,202.3484
0.1860,0.0000,0.0000,774.9625,204.4964
0.1880,0.0000,0.0000,776.5119,201.1890
0.1900,0.0000,0.0000,775.3859,204.8240
0.1920,0.0000,0.0000,775.7972,203.0165
0.1940,0.0000,0.0000,776.1466,206.2018
0.1960,0.0000,0.0000,777.4226,203.9902
0.1980,0.0000,0.0000,780.8411,206.9875
0.2000,0.0000,0.0000,781.2280,202.5303
0.2020,0.0000,0.0000,781.6096,207.9238
0.2040,0.0000,0.0000,782.7796,205.2638
0.2060,0.0000,0.0000,783.4311,207.8428
0.2080,0.0000,0.0000,785.6806,205.2184
0.2100,0.0000,0.0000,785.9126,207.9562
0.2120,0.0000,0.0000,787.0556,205.3912
0.2140,0.0000,0.0000,787.7670,208.1609
0.2160,0.0000,0.0000,789.1660,205.5984
0.2180,0.0000,0.0000,789.9847,208.3775
0.2200,0.0000,0.0000,792.3364,205.8134
0.2220,0.0000,0.0000,793.8579,208.5968
0.2240,0.0000,0.0000,795.7085,206.0508
0.2260,0.0000,0.0000,796.9683,208.8705
0.2280,0.0000,0.0000,798.8872,206.3268
0.2300,0.0000,0.0000,800.2029,209.1449
0.2320,0.0000,0.0000,802.2245,206.5849
0.2340,0.0000,0.0000,802.1248,209.3986
0.2360,0.0000,0.0000,803.1532,206.8275
0.2380,0.0000,0.0000,804.3974,209.6366
0.2400,0.0000,0.0000,806.3732,207.0377
0.2420,0.0000,0.0000,807.8370,209.7844
0.2440,0.0000,0.0000,810.0056,207.1670
0.2460,0.0000,0.0000,811.6775,210.0035
0.2480,0.0000,0.0000,811.6718,207.3927
0.2500,0.0000,0.0000,812.0526,210.1770
0.2520,0.0000,0.0000,811.9194,207.5253
0.2540,0.0000,0.0000,812.0130,210.2317
0.2560,0.0000,0.0000,812.7648,207.3698
0.2580,0.0000,0.0000,813.3914,210.2704
0.2600,0.0000,0.0000,814.8558,207.6660
0.2620,0.0000,0.0000,815.9200,210.4662
0.2640,0.0000,0.0000,817.6415,207.8115
0.2660,0.0000,0.0000,819.0269,210.6601
0.2680,0.0000,0.0000,820.9770,208.0033
0.2700,0.0000,0.0000,822.2849,210.7690
0.2720,0.0000,0.0000,823.6170,208.0508
0.2740,0.0000,0.0000,824.4909,210.7454
0.2760,0.0000,0.0000,826.0813,207.7253
0.2780,0.0000,0.0000,827.1062,210.6213
0.2800,0.0000,0.0000,828.7931,208.0072
0.2820,0.0000,0.0000,829.9845,210.8086
0.2840,0.0000,0.0000,831.7746,208.1781
0.2860,0.0000,0.0000,832.9386,210.9847
0.2880,0.0000,0.0000,834.7279,208.3453
0.2900,0.0000,0.0000,835.8979,211.1800
0.2920,0.0000,0.0000,837.7006,208.3841
0.2940,0.0000,0.0000,838.8918,211.2942
0.2960,0.0000,0.0000,840.7229,208.4153
0.2980,0.0000,0.0000,841.9384,210.8883
0.3000,0.0000,0.0000,843.7870,207.5348
0.3020,0.0000,0.0000,845.0258,210.3693
0.3040,0.0000,0.0000,846.7796,207.7059
0.3060,0.0000,0.0000,847.9507,210.2736
0.3080,0.0000,0.0000,849.7759,207.9106
0.3100,0.0000,0.0000,850.9930,210.9647
0.3120,0.0000,0.0000,852.8495,208.4142
0.3140,0.0000,0.0000,854.0864,211.2631
0.3160,0.0000,0.0000,855.9531,208.6613
0.3180,0.0000,0.0000,857.7892,211.5163
0.3200,0.0000,0.0000,860.0996,208.8380
0.3220,0.0000,0.0000,861.6985,211.6541
0.3240,0.0000,0.0000,863.8816,208.9527
0.3260,0.0000,0.0000,865.2136,211.6037
0.3280,0.0000,0.0000,867.2416,208.9115
0.3300,0.0000,0.0000,868.6896,211.7293
0.3320,0.0000,0.0000,870.8175,209.0277
0.3340,0.0000,0.0000,872.3473,211.8246
0.3360,0.0000,0.0000,874.5278,209.1169
0.3380,0.0000,0.0000,876.0738,212.1045
0.3400,0.0000,0.0000,878.2761,209.1108
0.3420,0.0000,0.0000,879.8750,211.9659
0.3440,0.0000,0.0000,882.1244,209.2720
0.3460,0.0000,0.0000,883.7706,212.0904
0.3480,0.0000,0.0000,886.1432,209.4248
0.3500,0.0000,0.0000,887.8860,212.2223
0.3520,0.0000,0.0000,890.2662,209.4734
0.3540,0.0000,0.0000,892.0321,212.2420
0.3560,0.0000,0.0000,894.4446,209.3765
0.3580,0.0000,0.0000,896.2484,212.2313
0.3600,0.0000,0.0000,898.7024,209.5206
0.3620,0.0000,0.0000,900.5497,212.2955
0.3640,0.0000,0.0000,903.0490,209.5967
0.3660,0.0000,0.0000,904.9422,212.4240
0.3680,0.0000,0.0000,907.4000,209.8380
0.3700,0.0000,0.0000,909.3665,212.3763
0.3720,0.0000,0.0000,911.9709,209.6836
0.3740,0.0000,0.0000,913.9643,212.5189
0.3760,0.0000,0.0000,916.5345,209.4127
0.3780,0.0000,0.0000,918.5502,212.2644
0.3800,0.0000,0.0000,921.3189,209.6241
0.3820,0.0000,0.0000,923.4628,212.4328
0.3840,0.0000,0.0000,926.2459,209.6520
0.3860,0.0000,0.0000,928.4157,212.3126
0.3880,0.0000,0.0000,931.2839,209.5674
0.3900,0.0000,0.0000,933.5333,212.7246
0.3920,0.0000,0.0000,936.4256,207.9006
0.3940,0.0000,0.0000,938.7066,213.2843
0.3960,0.0000,0.0000,941.5752,210.3613
0.3980,0.0000,0.0000,943.8627,212.7862
0.4000,0.0000,0.0000,946.8167,209.7720
0.4020,0.0000,0.0000,949.1733,212.3074
0.4040,0.0000,0.0000,952.1890,209.1877
